Frequency (Hz),Trace 1 (dBV),Phase (deg),Trace 2 (dBV),Phase (deg)
92.28515625,-89.23599448768074,-81.31511999462862,-86.9847172563415,-62.7966311034259
92.7734375,-88.94977220349676,67.43351280597756,-85.35078594927343,128.3356029669316
93.26171875,-88.17116250987921,-159.7437642029831,-85.38569974204856,-43.46740016061239
93.75,-84.60149461249682,-5.424969080946897,-82.76156029755069,135.7793173090498
94.23828125,-83.29812500774871,168.5826512611728,-81.15259186616925,-45.681881987309
94.7265625,-82.92009320549511,-21.38800910883724,-84.43158632112541,137.5488645052068
95.21484375,-84.39330517258068,152.3252967851288,-90.65384952813901,-44.38088201641464
95.703125,-92.25952496248688,-54.79072577721161,-98.82419310684044,74.19768021600274
96.19140625,-90.65815628897489,25.3062978439984,-91.24601066544705,-162.905966642862
96.6796875,-86.38941204434872,174.8004527075071,-87.91534514920927,27.14325602185513
97.16796875,-84.11005961154623,-34.24988339077848,-85.11018027481073,-147.5334299027628
97.65625,-82.58238379251134,120.7887865062015,-83.01203148756009,36.57694696585498
98.14453125,-81.25939222074187,-79.20251642417875,-82.59380000849265,-142.8153452367252
98.6328125,-80.41695423263234,91.1026920525801,-84.18836544108011,35.03315587005523
99.12109375,-82.06319718958126,-88.139523285135,-88.48399574530097,-115.5731348377776
99.609375,-86.82985657589487,104.7325603665955,-86.97860264417132,119.4338296963788
100.09765625,-89.95568736639919,-38.61056255913872,-83.73137870017139,-46.55632060122495
100.5859375,-88.96287253389788,158.8078529708882,-82.58192626570489,135.5394203550053
101.07421875,-88.77835994340865,5.063336579441333,-84.57565436326755,-38.55716951585219
101.5625,-86.59860258483687,-143.5068262318977,-88.42143693511146,162.9890400797924
102.05078125,-86.47891643061325,43.37091281543052,-89.57737907425337,-0.04773095542265158
102.5390625,-85.5465461865127,-130.7386831317238,-88.10506541158776,170.5487307578528
103.02734375,-83.15938275156225,51.64316035912345,-87.00218936368628,-19.09117051413613
103.515625,-83.78090907909848,-144.6216935776441,-85.70976039291483,147.0518066776337
104.00390625,-85.38853551375428,19.63759315332438,-82.78595601751634,-44.46887956454439
104.4921875,-86.46367666095223,-156.7984590123345,-81.35993925447448,131.9108494888521
104.98046875,-88.05138955455459,25.16923283347537,-81.16393119838094,-48.68533307968466
105.46875,-89.72714608380608,-149.5103833240316,-81.14585068597053,125.7484147868328
105.95703125,-88.05670944157745,29.12740430620452,-81.88135124821643,-61.1134204441551
106.4453125,-84.78418064023246,-151.0641809277292,-84.65419142236036,122.4940930897124
106.93359375,-84.02489642080725,41.63821337589814,-89.31491206236814,-52.04944648777941
107.421875,-85.40055888676029,-113.4877799549691,-89.19784302918912,128.4034552682301
107.91015625,-85.2993992612422,93.36396821548495,-85.1112541829502,-35.08583179482842
108.3984375,-85.30352822825897,-68.72425544107006,-83.4155471502761,157.1191172314387
108.88671875,-89.03207082404975,121.4313617551019,-83.75111107590961,-21.71556095902254
109.375,-99.17073158302318,-41.11994854086575,-84.69523876495288,159.0919085716309
109.86328125,-98.61891161304769,-128.6477617824859,-86.83922053301715,-23.16901258222536
110.3515625,-91.36861922348405,84.28151803712967,-88.53942076870254,116.6206983500383
110.83984375,-86.72171052197568,-95.19382543866908,-84.68515244730443,-96.80424608720755
111.328125,-85.52730780788623,77.98272263777172,-83.37016710017876,82.97271683823618
111.81640625,-85.60269261536155,-79.31380132322326,-85.07721875458019,-92.08843950185434
112.3046875,-83.37479132354045,119.6687223820918,-88.63456032906895,77.77980850747036
112.79296875,-83.13360749604047,-54.36560690096809,-95.31369359952548,-122.6963724474714
113.28125,-83.75320865785758,141.4602167854381,-99.69990291152206,-38.47583933976031
